diagnosis_cd,diagnosis
995,OTHER ANAPHYLACTIC REACT
996,MALFUNC CARD DEV/GRF NOS
997,NERVOUS SYST COMPLC NOS
998,POSTOPERATIVE SHOCK
999,GENERALIZED VACCINIA
E81,MV-TRAIN COLL-DRIVER
E82,SNOW VEH ACC-DRIVER
E84,TK OFF/LAND-SPCRFT
E85,ACC POISON-HEROIN
E86,ACC POISN-ALCOHOL BEVRAG
E87,ACC CUT/HEM IN SURGERY
E88,FALL ON ESCALATOR
E89,PRIVAT DWELL FIRE-EXPLOS
E90,EXCESSIVE HEAT: WEATHER
E91,WATER-SKIING ACCIDENT
E92,ACC-POWERED LAWN MOWER
E93,ADV EFF PENICILLINS
E94,ADV EFF ANALEPTICS
E95,POISON-ANALGESICS
E96,UNARMED FIGHT OR BRAWL
E98,UNDETERM POIS-ANALGESICS
V01,CHOLERA CONTACT
V02,CHOLERA CARRIER
V03,VACCIN FOR CHOLERA
V06,VACCIN FOR CHOLERA + TAB
V07,PROPHYLACTIC ISOLATION
V08,ASYMP HIV INFECTN STATUS
V09,INF MCRG RSTN PNCLLINS
V10,HX OF GI MALIGNANCY NOS
V11,HX OF SCHIZOPHRENIA
V12,PRSNL HST UNSP NFCT PRST
V13,PRSNL HST URNR DSRD UNSP
V14,HX-PENICILLIN ALLERGY
V15,HX-PEANUT ALLERGY
V16,FAMILY HX-GI MALIGNANCY
V17,FAM HX-PSYCHIATRIC COND
V18,FAM HX-DIABETES MELLITUS
V22,SUPERVIS NORMAL 1ST PREG
V23,PREG W HX OF INFERTILITY
V25,PRESCRIP-ORAL CONTRACEPT
V26,TUBOPLASTY OR VASOPLASTY
V27,DELIVER-SINGLE LIVEBORN
V42,KIDNEY TRANSPLANT STATUS
V43,EYE REPLACEMENT NEC
V44,TRACHEOSTOMY STATUS
V45,STATUS CARDC DVCE UNSPCF
V46,DEPENDENCE ON ASPIRATOR
V49,DEFICIENCIES OF LIMBS
V50,HAIR TRANSPLANT
V51,AFTERCARE W PLASTIC SURG
V53,ADJ CEREBRAL VENT SHUNT
V54,REMOVAL INT FIXATION DEV
V55,ATTEN TO TRACHEOSTOMY
V56,RENAL DIALYSIS ENCOUNTER
V57,BREATHING EXERCISES
V58,RADIOTHERAPY ENCOUNTER
V60,LACK OF HOUSING
V61,FAMILY DISRUPTION
V62,UNEMPLOYMENT
V63,HOME REMOTE FROM HOSPITL
V64,NO VACCIN/CONTRAINDICAT
V65,HEALTHY PERSON W SICK
V66,SURGICAL CONVALESCENCE
V67,FOLLOW-UP SURGERY NOS
V69,LACK OF PHYSICAL EXERCSE
V70,ROUTINE MEDICAL EXAM
V71,OBSV-ADULT ANTISOC BEHAV
V72,EYE & VISION EXAMINATION
V85,"BMI LESS THAN 19,ADULT"
V86,ESTROGEN RECEP PSTV STAT
